NPP Category,OMB Category,Tax Expenditure Name,Year,Original Name,Corporate,Individual,Total for 1981 and 1982,Original OMB Category
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: 401(k) plans,2005,,0,37440,,Community and Regional Development
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Individual Retirement Accounts,2005,,0,3100,,Income security
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Keogh plans,2005,,0,9400,,"General science, space, and technology"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Low and moderate income savers credit,2005,,0,1310,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,2005,,0,50630,,Energy
Housing & Community,Community and regional development,New markets tax credit,2005,,110,320,,Energy
Energy & Environment,Energy,New technology credit,2005,,220,20,,Health
Commerce,Commerce and Housing,Ordinary income treatment of loss from small business corporation stock sale,2005,,0,50,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,2005,,0,3760,,
Energy & Environment,Energy,Pass through low sulfur diesel expensing to cooperative owners,2005,,0,40,,Commerce and housing
Medicare & Health,Health,Self-employed medical insurance premiums,2005,,0,3790,,Commerce and housing credit
Housing & Community,Commerce and Housing,Small life insurance company deduction,2005,,60,0,,Agriculture
Housing & Community,Commerce and Housing,Special alternative tax on small property and casualty insurance companies,2005,,20,0,,Agriculture
Medicare & Health,Health,Special Blue Cross/Blue Shield deduction,2005,,710,0,,Commerce and housing
Education,"Education, training, employment, and social services",Special deduction for teacher expenses,2005,,0,160,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Special ESOP rules,2005,,1310,340,,Commerce and housing
Housing & Community,Commerce and Housing,Special rules for certain film and TV production,2005,,70,20,,
Education,"Education, training, employment, and social services",State prepaid tuition plans,2005,,0,430,,
Housing & Community,Commerce and Housing,Step-up basis of capital gains at death,2005,,0,26820,,Energy
Energy & Environment,Energy,Tax credit and deduction for clean-fuel burning vehicles,2005,,50,20,,
Transportation,Transportation,Tax credit for certain expenditures for maintaining railroad tracks,2005,,70,0,,Energy
Commerce,General purpose fiscal assistance,Tax credit for corporations receiving income from doing business in United States possessions,2005,,800,0,,Commerce and housing credit
Medicare & Health,Health,Tax credit for health insurance purchased by certain displaced and retired individuals,2005,,0,20,,Energy
Medicare & Health,Health,Tax credit for orphan drug research,2005,,210,0,,Energy
"Social Security, Unemployment & Labor",Income security,Tax credit for the elderly and disabled,2005,,0,20,,
Commerce,Commerce and Housing,Tax exemption of certain insurance companies owned by tax-exempt organizations,2005,,210,0,,Income security
Housing & Community,Natural resources and environment,Tax incentives for preservation of historic structures,2005,,270,80,,Income security
Energy & Environment,Energy,Temporary 50% expensing for equipment used in the refining of liquid fuels,2005,,0,0,,Commerce and housing
Food & Agriculture,Agriculture,Treatment of loans forgiven for solvent farmers,2005,,0,10,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Welfare-to-work tax credit,2005,,60,10,,Energy
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Work opportunity tax credit,2005,,130,30,,Commerce and housing credit
Energy & Environment,Energy,30% credit for residential purchases/installations of solar and fuel cells,2006,,0,10,,Health
Housing & Community,Commerce and Housing,Accelerated depreciation of buildings other than rental housing (normal tax method),2006,,230,-1200,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Accelerated depreciation of machinery and equipment (normal tax method),2006,,23730,12740,,
Housing & Community,Commerce and Housing,Accelerated depreciation on rental housing (normal tax method),2006,,640,9700,,Agriculture
"Social Security, Unemployment & Labor",Income security,Additional deduction for the blind,2006,,0,40,,Natural resources and environment
"Social Security, Unemployment & Labor",Income security,Additional deduction for the elderly,2006,,0,1920,,Natural resources and environment
Housing & Community,Income security,Additional exemption for housing disaster related displaced individuals,2006,Additional exemption for housing Hurricane Katrina displaced individuals,0,110,,Income security
Housing & Community,"Education, training, employment, and social services",Adoption credit and exclusion,2006,,0,540,,Income security
Energy & Environment,Energy,Alcohol fuel credit,2006,,40,10,,Health
Energy & Environment,Energy,Allowance of deduction for certain energy efficient commercial building property,2006,,60,20,,GENERAL PURPOSE FISCAL ASSISTANCE
Energy & Environment,Energy,Alternative fuel production credit,2006,,2860,120,,General government
Energy & Environment,Energy,Amortize all geological and geophysical expenditures over 2 years,2006,,10,0,,Commerce and housing
Housing & Community,"Education, training, employment, and social services",Assistance for adopted foster children,2006,,0,320,,Social Security
Energy & Environment,Agriculture,Bio-Diesel and small agri-biodiesel producer tax credits,2006,,0,90,,Commerce and housing credit
Housing & Community,Commerce and Housing,Cancellation of indebtedness,2006,,0,90,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",2006,,0,48610,,Commerce and housing
Commerce,Commerce and Housing,Capital gains exclusion of small corporation stock,2006,,0,240,,Income security
Housing & Community,Commerce and Housing,Capital gains exclusion on home sales,2006,,0,35270,,Health
Commerce,Agriculture,Capital gains treatment of certain income,2006,,0,880,,Health
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,2006,,0,160,,Commerce and housing
Energy & Environment,Energy,Capital gains treatment of royalties on coal,2006,,0,160,,
Housing & Community,Commerce and Housing,Carryover basis of capital gains on gifts,2006,,0,590,,Energy
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Child credit,2006,,0,30377,,"Education, training, employment, and social services"
Energy & Environment,Energy,Credit for business installation of qualified fuel cells and stationary microturbine power plants,2006,,60,20,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,2006,,0,3190,,
Energy & Environment,Energy,Credit for construction of new energy efficient homes,2006,,10,0,,
Housing & Community,"Education, training, employment, and social services",Credit for disabled access expenditures,2006,,10,10,,Community and Regional Development
Energy & Environment,Energy,Credit for energy efficiency improvements to existing homes,2006,,0,230,,Income security
Energy & Environment,Energy,Credit for energy efficient appliances,2006,,120,0,,Income security
Education,"Education, training, employment, and social services",Credit for holders of zone academy bonds,2006,,130,0,,Energy
Energy & Environment,Energy,Credit for holding clean renewable energy bonds,2006,,10,10,,Health
Science,"General science, space, and technology",Credit for increasing research activities,2006,,2120,60,,Business investment
Energy & Environment,Energy,Credit for investment in clean coal facilities,2006,,0,0,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Credit for low-income housing investments,2006,,3980,440,,Income security
Housing & Community,Community and regional development,Credit to holders of Gulf Tax Credit Bonds,2006,,0,10,,Community and Regional Development
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,2006,,0,260,,Community and regional development
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),2006,,570,3630,,Natural resources and environment
Medicare & Health,Health,Deductibility of charitable contributions (health),2006,,170,4020,,International affairs
Housing & Community,"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",2006,,1300,35820,,Income security
Medicare & Health,Health,Deductibility of medical expenses,2006,,0,3770,,Agriculture
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,2006,,0,68330,,
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,2006,,0,43120,,Commerce and transportation
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,2006,,0,21260,,Agriculture
Education,"Education, training, employment, and social services",Deductibility of student-loan interest,2006,,0,800,,Energy
Education,"Education, training, employment, and social services",Deduction for higher education expenses,2006,,0,1420,,Energy
Commerce,Commerce and Housing,Deduction for US production activities,2006,,8180,1770,,Natural resources and environment
Energy & Environment,Energy,Deferral of gain from dispositions of transmission property to implement FERC restructuring policy,2006,,620,0,,Community and Regional Development
Food & Agriculture,Agriculture,Deferral of gain on sale of farm refiners,2006,,10,0,,"Education, training, employment, and social services"
Commerce,International affairs,Deferral of income from controlled foreign corporations,2006,,11160,0,,Commerce and housing
Commerce,Commerce and Housing,Deferral of income from installment sales,2006,,310,880,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,2006,,0,1260,,Agriculture
Transportation,Transportation,Deferral of tax on shipping companies,2006,,20,0,,Agriculture
Commerce,International affairs,Deferred taxes for financial firms on certain income earned overseas,2006,,2260,0,,Community and regional development
Education,"Education, training, employment, and social services",Discharge of student loan indebtedness,2006,,0,20,,Income security
Medicare & Health,Health,Distributions from retirement plans for premiums for health and long-term care insurance,2006,,0,0,,Veterans benefits and services
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,2006,,0,5050,,Veterans benefits and services
Education,"Education, training, employment, and social services",Education Individual Retirement Accounts,2006,,0,10,,Social Security
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Employee retention credit for employers in certain federal disaster areas,2006,"Employee retention credit for employers affected by Hurricane Katrina, Rita, and Wilma",0,0,,Income security
Education,"Education, training, employment, and social services",Employer provided child care exclusion,2006,,0,660,,Health
Education,"Education, training, employment, and social services",Employer-provided child care credit,2006,,10,0,,Income security
Housing & Community,Community and regional development,"Empowerment zones, the DC enterprise zone, and renewal communities",2006,Empowerment zones and renewal communities,310,900,,Income security
Energy & Environment,Energy,Exception from passive loss limitation for working interests in oil and gas properties,2006,,0,30,,Social Security
Housing & Community,Commerce and Housing,"Exception from passive loss rules for $25,000 of rental loss",2006,,0,6590,,Social Security
Housing & Community,Commerce and Housing,Exceptions from imputed interest rules,2006,,0,50,,Veterans benefits and services
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,2006,,20,0,,Social Security and Medicare
Energy & Environment,Energy,"Excess of percentage over cost depletion, fuels",2006,,680,80,,Transportation
Energy & Environment,Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",2006,,430,20,,Income security
Transportation,Transportation,Exclusion for employer-provided transit passes,2006,,0,560,,Income security
International affairs,National defense,Exclusion of benefits and allowances to armed forces personnel,2006,,0,3100,,"Education, training, employment, and social services"
International affairs,International affairs,Exclusion of certain allowances for Federal employees abroad,2006,,0,800,,Income security
Housing & Community,"Education, training, employment, and social services",Exclusion of certain foster care payments,2006,,0,440,,Income security
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),2006,,0,890,,Commerce and housing
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,2006,,0,125000,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,2006,,0,590,,Natural resources and environment
Energy & Environment,Natural resources and environment,Exclusion of gain or loss on sale or exchange of certain brownfield sites,2006,,0,0,,Transportation
Government,Veterans' benefits and services,Exclusion of GI bill benefits,2006,,0,210,,Commerce and housing credit
International affairs,International affairs,Exclusion of income earned abroad by US citizens,2006,,0,2500,,"Education, training, employment, and social services"
Housing & Community,Community and regional development,"Exclusion of interest for airport, dock, and similar bonds",2006,,270,860,,General purpose fiscal assistance
Transportation,Transportation,Exclusion of interest on bonds for Highway Projects and rail-truck transfer facilities,2006,,10,15,,Commerce and housing
Education,"Education, training, employment, and social services",Exclusion of interest on bonds for private nonprofit educational facilities,2006,,510,1630,,Commerce and housing
Energy & Environment,Natural resources and environment,"Exclusion of interest on bonds for water, sewage, and hazardous waste facilities",2006,,120,390,,Commerce and housing credit
Energy & Environment,Energy,Exclusion of interest on energy facility bonds,2006,,10,30,,Community and Regional Development
Medicare & Health,Health,Exclusion of interest on hospital construction bonds,2006,,820,2600,,
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,2006,,1780,17600,,Energy
Housing & Community,Commerce and Housing,Exclusion of interest on owner-occupied mortgage subsidy bonds,2006,,280,890,,"Education, training, employment, and social services"
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,2006,,7230,15750,,Transportation
Housing & Community,Commerce and Housing,Exclusion of interest on rental housing bonds,2006,,230,740,,International affairs
Education,"Education, training, employment, and social services",Exclusion of interest on savings bonds redeemed to finance educational expenses,2006,,0,0,,International affairs
Commerce,Commerce and Housing,Exclusion of interest on small issue bonds,2006,,120,390,,International affairs
Education,"Education, training, employment, and social services",Exclusion of interest on student loan bonds,2006,,120,380,,Health
Veterans Benefits,Veterans' benefits and services,Exclusion of interest on veterans housing bonds,2006,,10,30,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Exclusion of interest spread of financial institutions,2006,,0,1350,,"Education, training, employment, and social services"
Veterans Benefits,Income security,Exclusion of military disability pensions,2006,,0,110,,
Housing & Community,Commerce and Housing,Exclusion of net imputed rental income,2006,,0,28780,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,2006,,0,290,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,2006,,0,2280,,Commerce and housing
Education,"Education, training, employment, and social services",Exclusion of parsonage allowances,2006,,0,480,,National defense
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,2006,,0,450,,Transportation
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,2006,,0,390,,Energy
Transportation,Transportation,Exclusion of reimbursed employee parking expenses,2006,,0,2740,,Energy
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),2006,,0,1780,,Energy
Veterans Benefits,Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,2006,Exclusion of social security benefits: Benefits for disabled,0,4730,,"Natural resources, environment, and energy"
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,2006,,0,17890,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",2006,Exlcusion of social security benefits: Social Security benefits for dependents and survivors,0,3360,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,2006,,0,50,,Community and Regional Development
Energy & Environment,Energy,Exclusion of utility conservation subsidies,2006,,0,110,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,2006,,0,3580,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,2006,,0,150,,Income security
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,2006,,0,5660,,"Education, training, employment, and social services"
Housing & Community,Community and regional development,Exemption of certain mutuals' and cooperatives' income,2006,,80,0,,International affairs
Housing & Community,Commerce and Housing,Exemption of credit union income,2006,,1320,0,,Commerce and housing
Energy & Environment,Natural resources and environment,Expensing of capital costs with respect to complying with EPA sulfur regulations,2006,,10,0,,Interest
Food & Agriculture,Agriculture,Expensing of certain capital outlays,2006,,20,110,,Interest
Food & Agriculture,Agriculture,Expensing of certain multiperiod production costs,2006,,10,60,,Commerce and housing
Commerce,Commerce and Housing,Expensing of certain small investments (normal tax method),2006,,1150,3850,,International affairs
Housing & Community,Community and regional development,Expensing of environmental remediation costs,2006,,120,30,,Energy
Energy & Environment,Energy,"Expensing of exploration and development costs, fuels ",2006,,590,90,,Commerce and housing credit
Energy & Environment,Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",2006,,10,0,,Commerce and housing
Energy & Environment,Natural resources and environment,Expensing of multiperiod timber growing costs,2006,,200,90,,Commerce and housing
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,2006,,7770,150,,Commerce and housing credit
Commerce,International affairs,Extraterritorial income exclusion,2006,,4400,0,,Commerce and housing
Commerce,Commerce and Housing,Graduated corporation income tax rate (normal tax method),2006,,4050,0,,Commerce and housing credit
Education,"Education, training, employment, and social services",HOPE tax credit,2006,,0,3900,,Health
Food & Agriculture,Agriculture,Income averaging for farmers,2006,,0,60,,Health
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,2006,,0,20,,Commerce and housing credit
International affairs,International affairs,Inventory property sales source rules exception,2006,,1730,0,,"Education, training, employment, and social services"
Housing & Community,Community and regional development,Investment credit for rehabilitation of structures (other than  historic),2006,,20,20,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Lifetime Learning tax credit,2006,,0,2490,,General government
Medicare & Health,Health,Medical Savings Accounts/ Health Savings Accounts,2006,,0,280,,Energy
Energy & Environment,Energy,Natural gas distribution pipelines treated as 15-year property,2006,,20,0,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: 401(k) plans,2006,,0,40760,,Community and Regional Development
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Individual Retirement Accounts,2006,,0,3970,,Income security
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Keogh plans,2006,,0,10130,,"General science, space, and technology"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Low and moderate income savers credit,2006,,0,700,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,2006,,0,49040,,Energy
Housing & Community,Community and regional development,New markets tax credit,2006,,150,440,,Energy
Energy & Environment,Energy,New technology credit,2006,,470,40,,Energy
Commerce,Commerce and Housing,Ordinary income treatment of loss from small business corporation stock sale,2006,,0,50,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,2006,,0,4030,,
Energy & Environment,Energy,Partial expensing for advanced mine safety equipment,2006,,0,0,,Commerce and housing
Medicare & Health,Health,Self-employed medical insurance premiums,2006,,0,3970,,Natural resources and environment
Housing & Community,Commerce and Housing,Small life insurance company deduction,2006,,60,0,,Agriculture
Housing & Community,Commerce and Housing,Special alternative tax on small property and casualty insurance companies,2006,,50,0,,Agriculture
Medicare & Health,Health,Special Blue Cross/Blue Shield deduction,2006,,620,0,,Agriculture
Education,"Education, training, employment, and social services",Special deduction for teacher expenses,2006,,0,160,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Special ESOP rules,2006,,1420,340,,Commerce and housing
Housing & Community,Commerce and Housing,Special rules for certain film and TV production,2006,,90,20,,Agriculture
Education,"Education, training, employment, and social services",State prepaid tuition plans,2006,,0,690,,
Housing & Community,Commerce and Housing,Step-up basis of capital gains at death,2006,,0,29600,,Commerce and housing credit
Energy & Environment,Energy,Tax credit and deduction for clean-fuel burning vehicles,2006,,40,70,,
Transportation,Transportation,Tax credit for certain expenditures for maintaining railroad tracks,2006,,140,0,,Energy
Commerce,General purpose fiscal assistance,Tax credit for corporations receiving income from doing business in United States possessions,2006,,200,0,,Energy
Medicare & Health,Health,Tax credit for health insurance purchased by certain displaced and retired individuals,2006,,0,0,,Commerce and housing
Medicare & Health,Health,Tax credit for orphan drug research,2006,,230,0,,Energy
"Social Security, Unemployment & Labor",Income security,Tax credit for the elderly and disabled,2006,,0,20,,
Commerce,Commerce and Housing,Tax exemption of certain insurance companies owned by tax-exempt organizations,2006,,220,0,,Income security
Housing & Community,Natural resources and environment,Tax incentives for preservation of historic structures,2006,,300,90,,Income security
Energy & Environment,Energy,Temporary 50% expensing for equipment used in the refining of liquid fuels,2006,,10,0,,Commerce and housing
Food & Agriculture,Agriculture,Treatment of loans forgiven for solvent farmers,2006,,0,20,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Welfare-to-work tax credit,2006,,70,10,,Energy
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Work opportunity tax credit,2006,,180,30,,Commerce and housing credit
Energy & Environment,Energy,30% credit for residential purchases/installations of solar and fuel cells,2007,,0,10,,Health
Housing & Community,Commerce and Housing,Accelerated depreciation of buildings other than rental housing (normal tax method),2007,,-1320,-3290,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Accelerated depreciation of machinery and equipment (normal tax method),2007,,14760,11650,,
Housing & Community,Commerce and Housing,Accelerated depreciation on rental housing (normal tax method),2007,,620,9240,,Veterans benefits and services
"Social Security, Unemployment & Labor",Income security,Additional deduction for the blind,2007,,0,30,,Natural resources and environment
"Social Security, Unemployment & Labor",Income security,Additional deduction for the elderly,2007,,0,1590,,Natural resources and environment
Housing & Community,Income security,Additional exemption for housing disaster related displaced individuals,2007,Additional exemption for housing Hurricane Katrina displaced individuals,0,20,,Income security
Housing & Community,"Education, training, employment, and social services",Adoption credit and exclusion,2007,,0,370,,Income security
Energy & Environment,Energy,Allowance of deduction for certain energy efficient commercial building property,2007,,140,50,,GENERAL PURPOSE FISCAL ASSISTANCE
Energy & Environment,Energy,Alternative fuel production credit,2007,,2800,120,,Social Security
Energy & Environment,Energy,Amortize all geological and geophysical expenditures over 2 years,2007,,40,10,,Commerce and housing
Housing & Community,"Education, training, employment, and social services",Assistance for adopted foster children,2007,,0,350,,Commerce and housing
Energy & Environment,Agriculture,Bio-Diesel and small agri-biodiesel producer tax credits,2007,,0,180,,Commerce and housing credit
Housing & Community,Commerce and Housing,Cancellation of indebtedness,2007,,0,110,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",2007,,0,53230,,Commerce and housing
Commerce,Commerce and Housing,Capital gains exclusion of small corporation stock,2007,,0,270,,Income security
Housing & Community,Commerce and Housing,Capital gains exclusion on home sales,2007,,0,31480,,Health
Commerce,Agriculture,Capital gains treatment of certain income,2007,,0,980,,Health
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,2007,,0,180,,Commerce and housing
Energy & Environment,Energy,Capital gains treatment of royalties on coal,2007,,0,180,,
Housing & Community,Commerce and Housing,Carryover basis of capital gains on gifts,2007,,0,650,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Child credit,2007,,0,30910,,"Education, training, employment, and social services"
Energy & Environment,Energy,Credit for business installation of qualified fuel cells and stationary microturbine power plants,2007,,20,60,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,2007,,0,2780,,
Energy & Environment,Energy,Credit for construction of new energy efficient homes,2007,,20,0,,
Housing & Community,"Education, training, employment, and social services",Credit for disabled access expenditures,2007,,10,20,,Community and Regional Development
Energy & Environment,Energy,Credit for energy efficiency improvements to existing homes,2007,,0,380,,Income security
Energy & Environment,Energy,Credit for energy efficient appliances,2007,,80,0,,Income security
Education,"Education, training, employment, and social services",Credit for holders of zone academy bonds,2007,,140,0,,Energy
Energy & Environment,Energy,Credit for holding clean renewable energy bonds,2007,,10,10,,Health
Science,"General science, space, and technology",Credit for increasing research activities,2007,,10260,60,,Business investment
Energy & Environment,Energy,Credit for investment in clean coal facilities,2007,,30,0,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Credit for low-income housing investments,2007,,4660,370,,Income security
Housing & Community,Community and regional development,Credit to holders of Gulf Tax Credit Bonds,2007,,0,10,,Community and Regional Development
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,2007,,0,560,,Community and regional development
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),2007,,600,3730,,Natural resources and environment
Medicare & Health,Health,Deductibility of charitable contributions (health),2007,,180,4130,,International affairs
Housing & Community,"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",2007,,1370,36830,,Income security
Medicare & Health,Health,Deductibility of medical expenses,2007,,0,4470,,Agriculture
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,2007,,0,84850,,
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,2007,,0,37500,,Community and regional development
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,2007,,0,19120,,"General science, space, and technology"
Education,"Education, training, employment, and social services",Deductibility of student-loan interest,2007,,0,810,,Energy
Education,"Education, training, employment, and social services",Deduction for higher education expenses,2007,,0,1450,,Energy
Commerce,Commerce and Housing,Deduction for US production activities,2007,,7380,2420,,Natural resources and environment
Energy & Environment,Energy,Deferral of gain from dispositions of transmission property to implement FERC restructuring policy,2007,,610,0,,Community and Regional Development
Food & Agriculture,Agriculture,Deferral of gain on sale of farm refiners,2007,,20,0,,"Education, training, employment, and social services"
Commerce,International affairs,Deferral of income from controlled foreign corporations,2007,,12490,0,,Commerce and housing
Commerce,Commerce and Housing,Deferral of income from installment sales,2007,,310,900,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,2007,,0,1290,,Agriculture
Transportation,Transportation,Deferral of tax on shipping companies,2007,,20,0,,Income security
Commerce,International affairs,Deferred taxes for financial firms on certain income earned overseas,2007,,2370,0,,Community and regional development
Housing & Community,Commerce and Housing,Discharge of mortgage indebtedness,2007,,0,0,,Health
Education,"Education, training, employment, and social services",Discharge of student loan indebtedness,2007,,0,20,,Income security
Medicare & Health,Health,Distributions from retirement plans for premiums for health and long-term care insurance,2007,,0,250,,Income security
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,2007,,0,4990,,Veterans benefits and services
Education,"Education, training, employment, and social services",Education Individual Retirement Accounts,2007,,0,20,,Veterans benefits and services
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Employee retention credit for employers in certain federal disaster areas,2007,"Employee retention credit for employers affected by Hurricane Katrina, Rita, and Wilma",10,20,,Veterans benefits and services
Education,"Education, training, employment, and social services",Employer provided child care exclusion,2007,,0,1170,,Energy
Education,"Education, training, employment, and social services",Employer-provided child care credit,2007,,10,0,,Income security
Housing & Community,Community and regional development,"Empowerment zones, the DC enterprise zone, and renewal communities",2007,Empowerment zones and renewal communities,360,1090,,Income security
Energy & Environment,Energy,Exception from passive loss limitation for working interests in oil and gas properties,2007,,0,30,,Social Security
Housing & Community,Commerce and Housing,"Exception from passive loss rules for $25,000 of rental loss",2007,,0,7840,,Health
Housing & Community,Commerce and Housing,Exceptions from imputed interest rules,2007,,0,50,,Veterans benefits and services
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,2007,,20,0,,Social Security
Energy & Environment,Energy,"Excess of percentage over cost depletion, fuels",2007,,710,80,,Transportation
Energy & Environment,Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",2007,,360,20,,Income security
Education,"Education, training, employment, and social services",Exclusion for benefits provided to volunteer EMS and firefighters,2007,,0,0,,Income security
Transportation,Transportation,Exclusion for employer-provided transit passes,2007,,0,420,,Income security
International affairs,National defense,Exclusion of benefits and allowances to armed forces personnel,2007,,0,3220,,"Education, training, employment, and social services"
International affairs,International affairs,Exclusion of certain allowances for Federal employees abroad,2007,,0,840,,Income security
Housing & Community,"Education, training, employment, and social services",Exclusion of certain foster care payments,2007,,0,420,,Income security
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),2007,,0,930,,National defense
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,2007,,0,133790,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,2007,,0,630,,Natural resources and environment
Energy & Environment,Natural resources and environment,Exclusion of gain or loss on sale or exchange of certain brownfield sites,2007,,10,0,,Transportation
Government,Veterans' benefits and services,Exclusion of GI bill benefits,2007,,0,250,,Commerce and housing credit
International affairs,International affairs,Exclusion of income earned abroad by US citizens,2007,,0,2630,,"Education, training, employment, and social services"
Housing & Community,Community and regional development,"Exclusion of interest for airport, dock, and similar bonds",2007,,270,580,,General purpose fiscal assistance
Transportation,Transportation,Exclusion of interest on bonds for Highway Projects and rail-truck transfer facilities,2007,,10,30,,Commerce and housing
Education,"Education, training, employment, and social services",Exclusion of interest on bonds for private nonprofit educational facilities,2007,,550,1200,,Commerce and housing
Energy & Environment,Natural resources and environment,"Exclusion of interest on bonds for water, sewage, and hazardous waste facilities",2007,,120,250,,Commerce and housing credit
Energy & Environment,Energy,Exclusion of interest on energy facility bonds,2007,,10,20,,Community and Regional Development
Medicare & Health,Health,Exclusion of interest on hospital construction bonds,2007,,870,1890,,
